PCT Code,PCT Name,Type 1 10/11 prev,Type 2 10/11 prev,All 10/11 prev,hba1c,bmi,bp,albumin,creatinine,cholesterol,eyeexam,footexam,smoking,allcareprocesses,hba1c<6.5,hba1c<=7.5,hba1c<=10,chol<4,chol<5,bptarget,bp140/80,alltargets
5N2,Kirklees PCT,0.0037,0.0405,0.0447,0.9356,0.9029,0.9544,0.7826,0.9326,0.9155,0.8509,0.8081,0.8294,0.5521,0.2110,0.6001,0.9160,0.4076,0.7750,0.3344,0.4093,0.1710
5J4,Knowsley PCT,0.0043,0.0460,0.0513,0.9258,0.9250,0.9642,0.7854,0.9275,0.9164,0.8123,0.8191,0.8900,0.5507,0.3720,0.7090,0.9240,0.4754,0.8030,0.3719,0.4681,0.2338
5LD,Lambeth PCT,0.0032,0.0294,0.0328,0.9182,0.8762,0.9404,0.7623,0.9076,0.8967,0.8368,0.8287,0.7696,0.5144,0.2468,0.5944,0.8967,0.3675,0.7459,0.3913,0.4558,0.1954
5N1,Leeds PCT,0.0038,0.0356,0.0401,0.9396,0.9057,0.9600,0.7400,0.9381,0.9226,0.8481,0.8576,0.8461,0.5529,0.1896,0.5896,0.9097,0.4218,0.7865,0.3850,0.4748,0.1945
5PC,Leicester City PCT,0.0043,0.0512,0.0569,0.9271,0.8958,0.9479,0.7844,0.9291,0.9201,0.7874,0.8319,0.8113,0.5315,0.1850,0.5974,0.9129,0.4386,0.8073,0.3853,0.4489,0.2068
5PA,Leicestershire County And Rutland PCT,0.0046,0.0400,0.0451,0.9383,0.9070,0.9555,0.8211,0.9409,0.9298,0.8360,0.8550,0.8679,0.6116,0.2150,0.6449,0.9382,0.4300,0.8103,0.3677,0.4518,0.2099
5LF,Lewisham PCT,0.0032,0.0389,0.0424,0.8965,0.8699,0.9331,0.7919,0.8963,0.8812,0.8087,0.8147,0.8324,0.5727,0.2041,0.5973,0.9000,0.3926,0.7608,0.3512,0.4294,0.1732
5N9,Lincolnshire Teaching PCT,0.0042,0.0476,0.0523,0.9313,0.9012,0.9545,0.7849,0.9402,0.9226,0.7583,0.8323,0.8307,0.4980,0.2287,0.6478,0.9326,0.4062,0.7703,0.3818,0.4688,0.2103
5NL,Liverpool PCT,0.0039,0.0387,0.0427,0.9297,0.9136,0.9589,0.7394,0.9010,0.8891,0.8427,0.8603,0.9004,0.5684,0.3004,0.6699,0.9203,0.4481,0.7894,0.3828,0.4795,0.2297
5GC,Luton PCT,0.0036,0.0475,0.0518,0.9160,0.8724,0.9490,0.6988,0.9165,0.8977,0.7936,0.8181,0.8299,0.4838,0.2790,0.6454,0.9196,0.4211,0.7648,0.3751,0.4382,0.2106
5NT,Manchester PCT,0.0037,0.0429,0.0473,0.9216,0.8722,0.9439,0.7241,0.9287,0.9116,0.8077,0.8084,0.8217,0.5055,0.2220,0.6100,0.9062,0.4507,0.7931,0.3805,0.4652,0.2127
5L3,Medway PCT,0.0043,0.0449,0.0500,0.8989,0.8844,0.9379,0.4563,0.9050,0.8968,0.8356,0.8405,0.8576,0.3550,0.2406,0.6384,0.9117,0.4768,0.8246,0.3673,0.4266,0.2112
